model_name,version,cmd_num,run_cmd,actual_run,reuse,time,Bcmd_num,Brun_cmd,Bactual_run,Breuse,Btime
addr,v1,1,1,1,0,4682,1,1,1,0,4566
addr,v2,1,1,1,0,4225,1,1,1,0,4423
addr,v3,1,1,1,0,481,1,1,1,0,726
addr,v4,1,1,1,0,4133,1,1,1,0,4145
addr,v5,1,1,1,0,118,1,1,1,0,106
addr,v2_v5,4,4,4,0,8957,4,4,4,0,9400
addr,v1_v5,5,5,5,0,13639,5,5,5,0,13966
addressBook,v1,2,2,2,0,14859,2,2,2,0,14868
addressBook,v2,2,2,2,0,11300,2,2,2,0,11705
addressBook,v3,2,2,2,0,37207,2,2,2,0,33104
addressBook,v4,2,1,1,0,30071,2,2,2,0,60070
addressBook,v5,2,2,2,0,71588,2,2,2,0,60044
addressBook,v2_v5,8,7,7,0,150166,8,8,8,0,164923
addressBook,v1_v5,10,9,9,0,165025,10,10,10,0,179791
arr,v1,1,1,1,0,5917,1,1,1,0,5906
arr,v2,1,1,1,0,3866,1,1,1,0,3592
arr,v3,1,1,0,1,151,1,1,1,0,2736
arr,v4,1,1,0,1,102,1,1,1,0,2519
arr,v5,1,1,1,0,2815,1,1,1,0,2460
arr,v2_v5,4,4,2,2,6934,4,4,4,0,11307
arr,v1_v5,5,5,3,2,12851,5,5,5,0,17213
balancedBST,v1,4,4,4,0,4565,4,4,4,0,4321
balancedBST,v2,4,4,0,4,522,4,4,4,0,1970
balancedBST,v3,4,2,1,1,720,4,4,4,0,1475
balancedBST,v4,4,2,0,2,225,4,4,4,0,1655
balancedBST,v5,4,4,0,4,285,4,4,4,0,1733
balancedBST,v2_v5,16,12,1,11,1752,16,16,16,0,6833
balancedBST,v1_v5,20,16,5,11,6317,20,20,20,0,11154
bempl,v1,2,2,2,0,14596,2,2,2,0,17665
bempl,v2,2,2,2,0,9210,2,2,2,0,8576
bempl,v3,2,2,0,2,269,2,2,2,0,8660
bempl,v4,2,2,2,0,9176,2,2,2,0,8910
bempl,v5,2,2,0,2,278,2,2,2,0,12840
bempl,v2_v5,8,8,4,4,18933,8,8,8,0,38986
bempl,v1_v5,10,10,6,4,33529,10,10,10,0,56651
binaryTree,v1,1,1,1,0,15219,1,1,1,0,15256
binaryTree,v2,1,1,1,0,11599,1,1,1,0,10975
